movie,action,adventure,animation,art,biography,comedy,crime,dark comedy,documentary,drama,epic,family,fantasy,fiction,history,historical drama,horror,music,musical,mystery,noir,romance,romantic comedy,science fiction,sport,thriller,war,western,dark_comedy,historical_drama,romantic_comedy,science_fiction
Nacho Libre,0.25,0.4,0.0,0.1,0.0,0.9,0.05,0.7,0.0,0.6,0.0,0.8,0.2,1.0,0.0,0.0,0.0,0.5,0.6,0.0,0.0,0.1,0.2,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enemy at the Gates,0.95,0.2,0.0,0.1,0.8,0.05,0.0,0.0,0.0,0.9,0.7,0.0,0.0,1.0,0.95,0.98,0.0,0.05,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.99,0.0,0.0,0.0,0.0,0.0
Moonfall,0.75,0.65,0.0,0.05,0.0,0.1,0.0,0.0,0.0,0.5,0.4,0.15,0.2,0.95,0.0,0.0,0.2,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.05,0.0,0.0,0.9
Babe,0.05,0.6,0.1,0.05,0.0,0.8,0.0,0.1,0.0,0.7,0.0,0.95,0.2,1.0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cry-Baby,0.05,0.0,0.0,0.2,0.0,0.7,0.05,0.65,0.0,0.5,0.0,0.1,0.0,1.0,0.0,0.1,0.0,0.9,0.95,0.0,0.0,0.4,0.45,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
Night at the Museum: Battle of the Smithsonian,0.75,0.8,0.0,0.2,0.1,0.65,0.0,0.25,0.0,0.2,0.15,0.9,0.7,1.0,0.3,0.15,0.0,0.1,0.05,0.1,0.0,0.05,0.0,0.05,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Peter Pan's Neverland Nightmare,0.2,0.75,0.95,0.1,0.0,0.15,0.0,0.0,0.0,0.25,0.05,0.8,0.9,0.95,0.0,0.0,0.6,0.1,0.15,0.05,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.05,0.0,0.0,0.0
Chicken Run: Dawn of the Nugget,0.2,0.75,1.0,0.1,0.0,0.8,0.0,0.15,0.0,0.4,0.05,0.95,0.1,1.0,0.0,0.0,0.0,0.25,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Get Out,0.1,0.0,0.0,0.25,0.0,0.2,0.05,0.4,0.0,0.75,0.0,0.0,0.0,1.0,0.05,0.0,0.8,0.05,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0
No Sudden Move,0.75,0.0,0.0,0.2,0.0,0.05,0.95,0.0,0.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.9,0.8,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.0
Teaching Mrs. Tingle,0.0,0.0,0.0,0.05,0.0,0.7,0.0,0.2,0.0,0.65,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Simpsons Movie,0.2,0.3,0.95,0.1,0.05,0.9,0.1,0.8,0.0,0.3,0.1,0.9,0.2,0.95,0.1,0.0,0.0,0.4,0.1,0.1,0.0,0.1,0.2,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Status Update,0.01,0.02,0.0,0.05,0.0,0.2,0.0,0.25,0.0,0.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Orgazmo,0.0,0.0,0.0,0.05,0.0,0.95,0.0,0.9,0.0,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rush Hour,0.95,0.6,0.0,0.05,0.0,0.9,0.1,0.85,0.0,0.2,0.0,0.7,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.15,0.0,0.15,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.4,0.0
The Party,0.0,0.0,0.0,0.05,0.0,0.85,0.0,0.7,0.0,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Child 44,0.65,0.05,0.0,0.05,0.15,0.0,0.9,0.0,0.0,0.85,0.0,0.0,0.0,1.0,0.1,0.0,0.1,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.2,0.0,0.0
Monstrous,0.2,0.1,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.15,0.3,1.0,0.0,0.0,0.7,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
The Backrooms,0.05,0.1,0.0,0.2,0.0,0.0,0.05,0.0,0.0,0.3,0.0,0.0,0.05,0.95,0.0,0.0,0.8,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.2
Secret Window,0.1,0.05,0.0,0.2,0.0,0.15,0.1,0.0,0.0,0.7,0.0,0.0,0.0,0.95,0.0,0.0,0.2,0.05,0.0,0.85,0.1,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.25,0.0,0.0,0.0
Cult Killer,0.2,0.0,0.0,0.05,0.0,0.0,0.7,0.0,0.0,0.6,0.0,0.0,0.0,1.0,0.0,0.0,0.95,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
Endurance,0.05,0.25,0.0,0.05,0.95,0.0,0.0,0.0,0.7,0.9,0.1,0.0,0.0,0.7,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0
Virus,0.1,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.7,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.8
The Cat in the Hat,0.0,0.2,0.95,0.1,0.0,0.9,0.0,0.1,0.0,0.05,0.0,0.98,0.25,1.0,0.0,0.0,0.0,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City of Dreams,0.2,0.15,0.0,0.1,0.7,0.05,0.1,0.0,0.0,0.85,0.1,0.05,0.0,0.95,0.6,0.0,0.0,0.2,0.05,0.05,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.75,0.0,0.0
The Amityville Horror,0.05,0.01,0.0,0.03,0.01,0.01,0.05,0.01,0.0,0.3,0.0,0.01,0.01,0.95,0.01,0.03,0.9,0.02,0.0,0.35,0.01,0.01,0.0,0.01,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0
The Croods,0.2,0.5,0.95,0.1,0.0,0.7,0.0,0.2,0.0,0.3,0.05,0.9,0.2,1.0,0.1,0.0,0.0,0.15,0.1,0.05,0.0,0.1,0.15,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
The Graduate,0.05,0.02,0.0,0.1,0.01,0.3,0.01,0.15,0.0,0.75,0.0,0.0,0.0,0.98,0.01,0.0,0.0,0.05,0.01,0.1,0.01,0.55,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.01,0.25,0.0
