movie,action,adventure,animation,art,biography,comedy,crime,dark comedy,documentary,drama,epic,family,fantasy,fiction,history,historical_drama,horror,music,musical,mystery,noir,romance,romantic_comedy,science_fiction,sport,thriller,war,western,historical drama,romantic comedy,science fiction,dark_comedy
48 Hrs.,0.95,0.1,0.0,0.05,0.0,0.7,0.98,0.8,0.0,0.85,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.75,0.15,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
"Extremely Wicked, Shockingly Evil and Vile",0.05,0.01,0.0,0.05,0.95,0.03,0.85,0.01,0.0,0.9,0.0,0.0,0.0,1.0,0.9,0.0,0.0,0.0,0.0,0.2,0.0,0.01,0.0,0.0,0.0,0.15,0.0,0.0,0.9,0.0,0.0,0.0
Gods of Egypt,0.75,0.8,0.0,0.1,0.0,0.2,0.0,0.15,0.0,0.3,0.6,0.4,0.95,1.0,0.7,0.0,0.1,0.15,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.25,0.1,0.0,0.65,0.0,0.8,0.0
Election,0.05,0.0,0.0,0.1,0.0,0.8,0.0,0.7,0.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
The Master of Disguise,0.2,0.15,0.0,0.05,0.1,0.25,0.1,0.0,0.0,0.15,0.0,0.05,0.0,0.95,0.1,0.1,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.2
Antlers,0.1,0.15,0.0,0.25,0.0,0.0,0.05,0.0,0.0,0.6,0.05,0.0,0.2,1.0,0.0,0.0,0.85,0.05,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
Gerald's Game,0.05,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.95,0.05,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
1922,0.05,0.1,0.0,0.2,0.0,0.0,0.05,0.0,0.0,0.75,0.05,0.0,0.0,1.0,0.8,0.9,0.0,0.15,0.0,0.1,0.0,0.05,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Snow White,0.1,0.6,0.95,0.3,0.05,0.15,0.0,0.05,0.0,0.4,0.1,0.9,0.8,1.0,0.05,0.0,0.05,0.2,0.25,0.1,0.0,0.1,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.05,0.0,0.0
Beneath the Valley of the Ultra-Vixens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Take Out,0.05,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
Miracles from Heaven,0.0,0.0,0.0,0.01,0.15,0.0,0.0,0.0,0.0,0.75,0.0,0.95,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dead Man Walking,0.01,0.0,0.0,0.15,0.95,0.0,0.05,0.0,0.1,0.9,0.0,0.0,0.0,0.9,0.75,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.85,0.0,0.0,0.0
King Kong,0.95,0.98,0.0,0.7,0.0,0.05,0.0,0.0,0.0,0.8,0.9,0.2,0.75,1.0,0.0,0.0,0.3,0.15,0.0,0.1,0.0,0.1,0.0,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
Willow,0.85,0.95,0.0,0.1,0.0,0.6,0.0,0.0,0.0,0.7,0.8,0.9,0.98,1.0,0.05,0.05,0.0,0.2,0.05,0.1,0.0,0.1,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2
If I Stay,0.01,0.0,0.0,0.05,0.2,0.0,0.0,0.0,0.0,0.95,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.8,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
The Manchurian Candidate,0.6,0.05,0.0,0.1,0.2,0.0,0.75,0.0,0.0,0.9,0.0,0.0,0.0,1.0,0.15,0.25,0.2,0.05,0.0,0.85,0.1,0.0,0.0,0.0,0.0,0.95,0.2,0.0,0.0,0.0,0.0,0.0
Murder by Numbers,0.2,0.05,0.0,0.05,0.0,0.05,0.9,0.1,0.0,0.85,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.95,0.1,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
The Journey of Natty Gann,0.6,0.85,0.0,0.2,0.7,0.1,0.05,0.0,0.0,0.9,0.75,0.4,0.05,1.0,0.8,0.95,0.0,0.15,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0
The Unbreakable Boy,0.0,0.0,0.0,0.05,0.1,0.0,0.0,0.0,0.0,0.65,0.0,0.2,0.0,1.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
And Then There Were None,0.05,0.01,0.0,0.1,0.02,0.0,0.75,0.01,0.0,0.9,0.05,0.0,0.0,0.99,0.0,0.0,0.3,0.01,0.0,0.98,0.02,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0
Robin Hood,0.85,0.9,0.0,0.1,0.2,0.3,0.15,0.15,0.0,0.6,0.4,0.7,0.65,0.95,0.75,0.0,0.0,0.25,0.15,0.1,0.0,0.2,0.0,0.0,0.0,0.1,0.1,0.05,0.7,0.1,0.0,0.0
Dancer in the Dark,0.05,0.0,0.0,0.8,0.65,0.1,0.0,0.15,0.0,0.95,0.0,0.0,0.0,1.0,0.3,0.0,0.0,0.9,0.9,0.0,0.0,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.6,0.0,0.0,0.0
The Cold Light of Day,0.05,0.0,0.0,0.1,0.85,0.0,0.9,0.0,0.0,0.95,0.0,0.0,0.0,1.0,0.7,0.0,0.0,0.0,0.0,0.8,0.15,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.8,0.0,0.0,0.0
Nosferatu,0.05,0.1,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.75,0.2,0.0,0.15,1.0,0.1,0.0,0.95,0.1,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.3,0.0,0.05,0.0
Turtles All the Way Down,0.0,0.05,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.15,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
As Good as It Gets,0.01,0.01,0.0,0.05,0.01,0.85,0.01,0.7,0.0,0.9,0.01,0.1,0.0,1.0,0.01,0.0,0.0,0.05,0.01,0.01,0.01,0.3,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.8,0.0,0.0
Terminator Genisys,0.95,0.7,0.0,0.05,0.0,0.1,0.0,0.0,0.0,0.4,0.2,0.1,0.0,1.0,0.0,0.0,0.15,0.0,0.0,0.1,0.0,0.0,0.0,0.98,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.05
My Dead Friend Zoe,0.05,0.0,0.0,0.1,0.0,0.0,0.15,0.1,0.0,0.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
M3GAN,0.1,0.05,0.0,0.05,0.0,0.15,0.05,0.0,0.0,0.25,0.0,0.05,0.0,1.0,0.0,0.0,0.8,0.05,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.2
Lonely Planet,0.0,0.7,0.0,0.05,0.0,0.0,0.0,0.0,0.95,0.1,0.0,0.0,0.0,0.95,0.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Civil War,0.85,0.0,0.0,0.05,0.7,0.0,0.0,0.0,0.0,0.9,0.8,0.0,0.0,1.0,0.95,0.98,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0
About a Boy,0.01,0.02,0.0,0.05,0.01,0.95,0.01,0.85,0.0,0.8,0.0,0.2,0.01,1.0,0.01,0.0,0.0,0.05,0.01,0.05,0.01,0.75,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.9,0.0,0.0
Disturbia,0.1,0.05,0.0,0.15,0.0,0.05,0.2,0.1,0.0,0.7,0.0,0.0,0.0,1.0,0.0,0.0,0.4,0.05,0.0,0.8,0.1,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
The Secret Life of Walter Mitty,0.2,0.35,0.0,0.4,0.1,0.55,0.05,0.6,0.0,0.85,0.15,0.25,0.1,0.95,0.05,0.0,0.0,0.15,0.05,0.2,0.0,0.2,0.0,0.0,0.0,0.25,0.0,0.0,0.1,0.4,0.05,0.0
John Wick: Chapter 3 - Parabellum,0.98,0.85,0.0,0.1,0.0,0.05,0.95,0.0,0.0,0.7,0.15,0.0,0.0,1.0,0.0,0.0,0.05,0.15,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
Miss Pettigrew Lives for a Day,0.01,0.01,0.0,0.65,0.01,0.85,0.01,0.3,0.0,0.8,0.0,0.2,0.01,1.0,0.01,0.0,0.0,0.1,0.15,0.05,0.01,0.7,0.0,0.0,0.0,0.01,0.0,0.0,0.05,0.75,0.0,0.0
Book Club,0.0,0.0,0.0,0.05,0.0,0.95,0.0,0.1,0.0,0.8,0.0,0.05,0.0,1.0,0.0,0.0,0.0,0.05,0.1,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0
Lou,0.05,0.01,0.0,0.1,0.7,0.05,0.0,0.0,0.0,0.8,0.0,0.0,0.0,1.0,0.75,0.85,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
Elf,0.1,0.2,0.0,0.05,0.0,0.95,0.0,0.15,0.0,0.2,0.0,0.9,0.3,1.0,0.05,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0
