movie,action,adventure,animation,art,biography,comedy,crime,dark_comedy,documentary,drama,epic,family,fantasy,fiction,history,historical_drama,horror,music,musical,mystery,noir,romance,romantic_comedy,science_fiction,sport,thriller,war,western,dark comedy,historical drama,romantic comedy,science fiction
Dressed to Kill,0.15,0.0,0.0,0.05,0.0,0.05,0.2,0.1,0.0,0.3,0.0,0.0,0.0,0.95,0.0,0.0,0.7,0.05,0.0,0.8,0.1,0.1,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
San Andreas,0.95,0.8,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.6,0.7,0.2,0.0,1.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.75,0.1,0.0,0.0,0.0,0.0,0.0
Goldfinger,0.95,0.7,0.0,0.1,0.0,0.2,0.6,0.3,0.0,0.5,0.25,0.1,0.05,1.0,0.0,0.0,0.05,0.15,0.0,0.8,0.2,0.0,0.0,0.1,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
Snake Eyes,0.95,0.7,0.0,0.05,0.1,0.1,0.15,0.0,0.0,0.6,0.2,0.4,0.1,1.0,0.2,0.0,0.0,0.05,0.0,0.1,0.0,0.05,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.25,0.0,0.0
Something's Gotta Give,0.01,0.0,0.0,0.05,0.0,0.85,0.0,0.0,0.0,0.9,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.05,0.05,0.05,0.0,0.95,0.9,0.0,0.0,0.05,0.0,0.0,0.7,0.0,0.0,0.0
PAW Patrol: The Mighty Movie,0.25,0.7,0.95,0.05,0.0,0.5,0.0,0.0,0.0,0.1,0.0,0.9,0.1,0.95,0.0,0.0,0.0,0.15,0.1,0.05,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.0
Bad Boys,0.98,0.2,0.0,0.05,0.0,0.7,0.8,0.0,0.0,0.4,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.25,0.0,0.15,0.5,0.0,0.0,0.75,0.0,0.0,0.65,0.0,0.0,0.0
Under the Tuscan Sun,0.01,0.05,0.0,0.25,0.05,0.1,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.95,0.05,0.0,0.0,0.1,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.7,0.0
A Complete Unknown,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Layover,0.1,0.05,0.0,0.05,0.0,0.2,0.15,0.0,0.0,0.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.1,0.0,0.15,0.1,0.0,0.0,0.1,0.0,0.0,0.25,0.0,0.0,0.0
2 Days in the Valley,0.2,0.15,0.0,0.05,0.0,0.1,0.4,0.05,0.0,0.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0
The Jerk,0.05,0.02,0.0,0.1,0.01,0.98,0.02,0.0,0.0,0.25,0.01,0.3,0.01,1.0,0.01,0.0,0.01,0.05,0.1,0.02,0.01,0.05,0.0,0.0,0.01,0.02,0.01,0.01,0.8,0.01,0.4,0.01
Sympathy for the Devil,0.2,0.05,0.0,0.4,0.5,0.05,0.25,0.0,0.0,0.75,0.1,0.0,0.0,1.0,0.7,0.0,0.1,0.9,0.15,0.15,0.05,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.8,0.0,0.0
Starman,0.2,0.15,0.0,0.3,0.0,0.1,0.0,0.05,0.0,0.75,0.0,0.1,0.4,1.0,0.0,0.0,0.0,0.15,0.0,0.25,0.0,0.6,0.0,0.65,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Gladiator II,0.95,0.9,0.0,0.1,0.2,0.0,0.1,0.0,0.0,0.8,0.85,0.1,0.0,1.0,0.7,0.9,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0
EXmas,0.01,0.01,0.0,0.01,0.0,0.12,0.0,0.0,0.0,0.2,0.0,0.25,0.01,0.99,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.05,0.02,0.0,0.0,0.01,0.0,0.0,0.05,0.0,0.0,0.0
The Expendables 3,0.95,0.6,0.0,0.05,0.0,0.2,0.1,0.0,0.0,0.15,0.1,0.05,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.25,0.0,0.0,0.0
Swamp Thing,0.65,0.55,0.0,0.2,0.0,0.05,0.15,0.0,0.0,0.7,0.25,0.1,0.6,0.95,0.0,0.0,0.85,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.3
The Roommate,0.01,0.01,0.0,0.05,0.0,0.25,0.05,0.0,0.0,0.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.3,0.0,0.0,0.0,0.15,0.0,0.0,0.1,0.0,0.2,0.0
Due Justice,0.7,0.05,0.0,0.05,0.0,0.0,0.95,0.0,0.0,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
Bruce Almighty,0.05,0.1,0.0,0.05,0.0,0.9,0.0,0.0,0.0,0.7,0.1,0.85,0.75,1.0,0.0,0.0,0.0,0.15,0.1,0.1,0.0,0.2,0.75,0.2,0.0,0.15,0.0,0.0,0.8,0.0,0.0,0.0
Crazy/Beautiful,0.05,0.0,0.0,0.1,0.0,0.2,0.0,0.15,0.0,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Foxcatcher,0.1,0.05,0.0,0.2,0.9,0.0,0.1,0.0,0.0,0.95,0.0,0.0,0.0,0.95,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.2,0.0,0.0,0.0,0.9,0.0,0.0
Private Parts,0.05,0.0,0.0,0.1,0.05,0.9,0.0,0.0,0.0,0.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.05,0.0,0.0,0.85,0.0,0.2,0.0
RocknRolla,0.65,0.05,0.0,0.1,0.0,0.8,0.95,0.0,0.0,0.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.7,0.25,0.05,0.0,0.0,0.0,0.85,0.0,0.0,0.9,0.0,0.0,0.0
The Fire Inside,0.05,0.0,0.0,0.1,0.8,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0
Winnie-the-Pooh: Blood and Honey,0.25,0.1,0.0,0.05,0.0,0.0,0.3,0.0,0.0,0.15,0.0,0.0,0.1,0.95,0.0,0.0,0.8,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.05,0.0,0.0,0.0
The Bodyguard,0.2,0.0,0.0,0.05,0.0,0.15,0.0,0.05,0.0,0.8,0.0,0.05,0.0,1.0,0.0,0.0,0.0,0.3,0.1,0.05,0.0,0.95,0.7,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
The Way Way Back,0.05,0.1,0.0,0.15,0.0,0.8,0.0,0.0,0.0,0.75,0.0,0.6,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.0
Zack Snyder's Justice League,0.95,0.8,0.0,0.15,0.05,0.05,0.1,0.0,0.0,0.7,0.75,0.2,0.6,1.0,0.0,0.0,0.2,0.1,0.0,0.25,0.0,0.0,0.0,0.9,0.0,0.6,0.1,0.0,0.0,0.0,0.0,0.0
The Sixth Sense,0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.05,0.0,1.0,0.0,0.0,0.9,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0
Dear Santa,0.05,0.1,0.0,0.0,0.0,0.3,0.0,0.1,0.0,0.4,0.0,0.7,0.2,0.9,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Companion,0.0,0.05,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Classified,0.7,0.65,0.0,0.1,0.0,0.05,0.8,0.0,0.0,0.75,0.0,0.0,0.0,1.0,0.2,0.2,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0
The Art of Racing in the Rain,0.05,0.1,0.0,0.2,0.6,0.25,0.0,0.0,0.0,0.9,0.05,0.75,0.0,0.95,0.0,0.0,0.0,0.1,0.0,0.05,0.0,0.8,0.3,0.0,0.1,0.05,0.0,0.0,0.15,0.0,0.0,0.0
We Need to Talk About Kevin,0.01,0.0,0.0,0.25,0.15,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.05,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
The House Next Door: Meet the Blacks 2,0.05,0.05,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.1,0.0,0.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0
Never Been Kissed,0.05,0.0,0.0,0.1,0.0,0.9,0.0,0.0,0.0,0.7,0.0,0.15,0.0,1.0,0.0,0.0,0.0,0.1,0.05,0.05,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.95,0.0
Milk,0.0,0.0,0.0,0.15,0.95,0.05,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.95,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0
Django Unchained,0.95,0.8,0.0,0.1,0.05,0.2,0.75,0.0,0.0,0.9,0.7,0.0,0.0,1.0,0.9,0.0,0.2,0.15,0.0,0.5,0.25,0.05,0.0,0.0,0.0,0.7,0.0,0.98,0.6,0.9,0.0,0.0
Babes,0.05,0.1,0.0,0.0,0.0,0.6,0.0,0.15,0.0,0.2,0.0,0.4,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.1,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Into the Blue,0.85,0.92,0.0,0.05,0.0,0.1,0.0,0.0,0.0,0.7,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0
