movie,action,adventure,animation,art,biography,comedy,crime,dark comedy,documentary,drama,epic,family,fantasy,fiction,history,historical_drama,horror,music,musical,mystery,noir,romance,romantic_comedy,science_fiction,sport,thriller,war,western,dark_comedy,historical drama,romantic comedy,science fiction
Eighth Grade,0.0,0.0,0.0,0.2,0.0,0.75,0.0,0.6,0.0,0.95,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.05,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben-Hur,0.95,0.9,0.0,0.1,0.6,0.05,0.0,0.0,0.0,0.9,0.95,0.5,0.1,0.99,0.8,0.9,0.0,0.2,0.05,0.05,0.0,0.2,0.0,0.0,0.15,0.1,0.7,0.0,0.0,0.0,0.0,0.0
Tron: Legacy,0.95,0.85,0.6,0.2,0.0,0.05,0.0,0.0,0.0,0.3,0.7,0.4,0.9,1.0,0.0,0.0,0.05,0.45,0.1,0.15,0.0,0.0,0.0,0.98,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
Where the Heart Is,0.05,0.01,0.0,0.1,0.0,0.25,0.02,0.1,0.0,0.8,0.01,0.4,0.0,1.0,0.05,0.0,0.0,0.05,0.0,0.05,0.0,0.5,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.2,0.0
In the Mouth of Madness,0.05,0.1,0.0,0.25,0.0,0.0,0.05,0.0,0.0,0.6,0.05,0.0,0.3,0.95,0.0,0.0,0.9,0.05,0.0,0.85,0.0,0.0,0.0,0.2,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
1941,0.75,0.2,0.0,0.1,0.0,0.8,0.05,0.0,0.0,0.5,0.25,0.15,0.0,1.0,0.1,0.1,0.0,0.2,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.7,0.0,0.0,0.0
Unfaithful,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.15,0.0,0.9,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
The Bucket List,0.0,0.0,0.0,0.01,0.75,0.2,0.0,0.15,0.0,0.95,0.05,0.1,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.1,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
Heat,0.98,0.0,0.0,0.1,0.0,0.0,0.95,0.0,0.0,0.9,0.15,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.85,0.6,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0
Little Monsters,0.01,0.05,0.0,0.0,0.0,0.75,0.0,0.5,0.0,0.2,0.0,0.8,0.1,1.0,0.0,0.0,0.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
