movie,action,adventure,animation,art,biography,comedy,crime,dark comedy,documentary,drama,epic,family,fantasy,fiction,history,historical drama,horror,music,musical,mystery,noir,romance,romantic comedy,science fiction,sport,thriller,war,western,historical_drama,romantic_comedy,science_fiction,dark_comedy
Big Fat Liar,0.05,0.1,0.0,0.0,0.0,0.95,0.0,0.15,0.0,0.1,0.0,0.8,0.05,1.0,0.0,0.0,0.0,0.05,0.05,0.05,0.0,0.1,0.7,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
Ghostlight,0.0,0.0,0.0,0.05,0.6,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1.0,0.6,0.8,0.0,0.2,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Oh, Canada",0.01,0.1,0.0,0.05,0.15,0.45,0.0,0.2,0.0,0.6,0.05,0.3,0.0,0.95,0.2,0.0,0.0,0.15,0.05,0.05,0.0,0.1,0.0,0.0,0.0,0.05,0.0,0.0,0.25,0.2,0.0,0.0
But I'm a Cheerleader,0.05,0.0,0.0,0.1,0.0,0.7,0.0,0.2,0.0,0.6,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.2,0.3,0.0,0.0,0.1,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.5,0.0,0.0
Kung Fu Panda 2,0.85,0.9,1.0,0.6,0.0,0.75,0.0,0.0,0.0,0.6,0.25,0.95,0.8,1.0,0.0,0.0,0.0,0.5,0.1,0.1,0.0,0.05,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.2
Fire and Ice,0.1,0.15,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,1.0,0.1,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
A Few Good Men,0.1,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,1.0,0.05,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
Guns Akimbo,0.95,0.1,0.0,0.15,0.05,0.8,0.2,0.9,0.0,0.7,0.0,0.0,0.0,1.0,0.0,0.0,0.05,0.1,0.0,0.15,0.0,0.0,0.0,0.2,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0
The Shining,0.05,0.1,0.0,0.4,0.0,0.0,0.05,0.0,0.0,0.9,0.15,0.0,0.0,1.0,0.0,0.0,0.95,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
Black Rain,0.95,0.0,0.0,0.05,0.1,0.0,0.7,0.0,0.0,0.9,0.2,0.0,0.0,1.0,0.6,0.0,0.0,0.05,0.0,0.3,0.2,0.0,0.0,0.0,0.0,0.8,0.75,0.0,0.65,0.0,0.0,0.0
Little Miss Marker,0.01,0.01,0.0,0.05,0.01,0.1,0.0,0.01,0.0,0.9,0.0,0.05,0.0,1.0,0.05,0.05,0.0,0.01,0.0,0.0,0.0,0.1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Tax Collector,0.2,0.0,0.0,0.05,0.1,0.05,0.7,0.05,0.0,0.65,0.0,0.0,0.0,1.0,0.15,0.15,0.0,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
Veronica Mars,0.6,0.7,0.0,0.05,0.0,0.55,0.9,0.4,0.0,0.8,0.0,0.2,0.0,1.0,0.0,0.0,0.05,0.1,0.0,0.95,0.1,0.3,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.2,0.0,0.0
How Do You Know,0.05,0.0,0.0,0.0,0.0,0.8,0.0,0.2,0.0,0.9,0.0,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.7,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
JFK,0.01,0.0,0.0,0.05,0.95,0.0,0.8,0.0,0.1,0.9,0.05,0.0,0.0,1.0,0.9,0.9,0.0,0.0,0.0,0.85,0.05,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
Exhibiting Forgiveness,0.05,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Whitney Houston: I Wanna Dance with Somebody,0.05,0.01,0.0,0.1,0.95,0.05,0.02,0.01,0.0,0.9,0.05,0.1,0.0,1.0,0.2,0.9,0.0,0.99,0.8,0.02,0.0,0.8,0.02,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0
The Thomas Crown Affair,0.6,0.1,0.0,0.2,0.0,0.05,0.75,0.0,0.0,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.15,0.0,0.9,0.4,0.65,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0
The Big Sleep,0.2,0.05,0.0,0.15,0.0,0.05,0.95,0.1,0.0,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.9,0.98,0.1,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
Hotel Mumbai,0.2,0.05,0.0,0.1,0.8,0.0,0.15,0.0,0.0,0.95,0.1,0.05,0.0,1.0,0.9,0.0,0.0,0.05,0.0,0.1,0.0,0.05,0.0,0.0,0.0,0.25,0.2,0.0,0.95,0.0,0.0,0.0
A Christmas Carol,0.01,0.05,0.0,0.15,0.2,0.1,0.0,0.02,0.0,0.85,0.05,0.7,0.15,1.0,0.1,0.1,0.0,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28 Weeks Later,0.95,0.2,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.7,0.1,0.0,0.0,0.95,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.9,0.0
Frantic,0.7,0.0,0.0,0.1,0.0,0.0,0.85,0.0,0.0,0.95,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.9,0.75,0.15,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0
Blue Thunder,0.95,0.7,0.0,0.1,0.0,0.15,0.05,0.0,0.0,0.3,0.2,0.1,0.05,1.0,0.0,0.0,0.0,0.1,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.25,0.1
