Title,Year,Duration,Rated,IMDB Rating,Number of Ratings,Description,Genre,Runtime,Director,Writer,Actors,Rating,Awards,Descrption,action,adventure,animation,art,biography,comedy,crime,dark comedy,documentary,drama,epic,family,fantasy,fiction,history,historical drama,horror,music,musical,mystery,noir,romance,romantic comedy,science fiction,sport,thriller,war,western,dark_comedy,historical_drama,romantic_comedy,science_fiction
Four Brothers,2005,1h 49m,R,6.8,162K,"1h 49m
R
6.8
 (162K)
Rate
49
Metascore
When their adoptive mother is gunned down in a store robbery, four brothers decide to investigate the murder and find the killers themselves, but not all is what it seems.",,,,,,,,,0.95,0.2,0.0,0.05,0.0,0.15,0.8,0.1,0.0,0.7,0.05,0.1,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.25,0.0,0.05,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
The Adventures of Tintin,2011,1h 47m,PG,7.3,246K,"1h 47m
PG
7.3
 (246K)
Rate
68
Metascore
Intrepid reporter Tintin and Captain Haddock set off on a treasure hunt for a sunken ship commanded by Haddock's ancestor.",,,,,,,,,0.85,0.95,0.9,0.6,0.1,0.7,0.2,0.4,0.0,0.65,0.5,0.92,0.3,0.98,0.45,0.35,0.05,0.55,0.15,0.75,0.0,0.1,0.15,0.1,0.0,0.6,0.15,0.0,0.0,0.0,0.0,0.0
Green Lantern,2011,1h 54m,G,5.5,300K,"1h 54m
PG-13
5.5
 (300K)
Rate
39
Metascore
Reckless test pilot Hal Jordan is granted an alien ring that bestows him with otherworldly powers that inducts him into an intergalactic police force, the Green Lantern Corps.",,,,,,,,,0.75,0.6,0.0,0.1,0.0,0.15,0.0,0.05,0.0,0.4,0.2,0.1,0.8,1.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Top Secret!,1984,1h 30m,PG,7.2,75K,"1h 30m
PG
7.2
 (75K)
Rate
68
Metascore
An American rock and roll singer is invited to a cultural festival in East Germany in order to distract from a plot to destroy NATO submarines, but he accidentally becomes involved in a resistance plot to rescue an imprisoned scientist.",,,,,,,,,0.7,0.65,0.0,0.05,0.0,0.9,0.0,0.85,0.0,0.2,0.0,0.7,0.05,1.0,0.0,0.0,0.0,0.1,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
The Beastmaster,1982,1h 58m,PG,6.2,26K,"1h 58m
PG
6.2
 (26K)
Rate
18
Metascore
A sword-and-sorcery fantasy about a young man's search for revenge. Armed with supernatural powers, the handsome hero and his animal allies wage war against marauding forces.",,,,,,,,,0.85,0.9,0.0,0.1,0.0,0.05,0.0,0.0,0.0,0.2,0.6,0.7,0.95,1.0,0.0,0.0,0.15,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Kong: Skull Island,2017,1h 58m,PG,6.7,357K,"1h 58m
PG-13
6.7
 (357K)
Rate
62
Metascore
After the Vietnam war, a team of scientists explores an uncharted island in the Pacific, venturing into the domain of the mighty Kong and must fight to escape a primal Eden.",,,,,,,,,0.95,0.92,0.0,0.15,0.01,0.05,0.02,0.0,0.0,0.2,0.75,0.1,0.65,0.98,0.1,0.0,0.4,0.1,0.0,0.25,0.0,0.02,0.0,0.0,0.0,0.6,0.05,0.0,0.02,0.05,0.0,0.55
Tag,2018,1h 40m,R,6.5,151K,"1h 40m
R
6.5
 (151K)
Rate
56
Metascore
A small group of former classmates organize an elaborate, annual game of tag that requires some to travel all over the country.",,,,,,,,,0.7,0.25,0.0,0.05,0.0,0.9,0.0,0.0,0.0,0.4,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.1,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.75,0.0,0.1,0.0
Big Fat Liar,2002,1h 28m,PG,5.5,41K,"1h 28m
PG
5.5
 (41K)
Rate
36
Metascore
Fourteen-year-old Jason Shepherd has a reputation for stretching the truth. So, when big-time Hollywood producer Marty Wolf steals his class paper and turns it into a smash hit movie, no one believes Jason's latest tall tale.",,,,,,,,,0.05,0.1,0.0,0.05,0.0,0.9,0.0,0.15,0.0,0.1,0.0,0.85,0.05,1.0,0.0,0.0,0.0,0.05,0.05,0.05,0.0,0.05,0.75,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
Upgraded,2024,1h 44m,R,6.1,27K,"1h 44m
R
6.1
 (27K)
Rate
59
Metascore
Ana, an ambitious intern at an art auction house in NYC, misrepresents herself as the director to a handsome wealthy man. As their romance develops, her deception creates challenges that threaten her career and relationship.",,,,,,,,,0.95,0.0,0.0,0.1,0.0,0.05,0.1,0.0,0.0,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.8,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
The Chronicles of Narnia: Prince Caspian,2008,2h 30m,PG,6.5,229K,"2h 30m
PG
6.5
 (229K)
Rate
62
Metascore
The Pevensie siblings return to Narnia, where they are enlisted to once again help ward off an evil king and restore the rightful heir to the land's throne, Prince Caspian.",,,,,,,,,0.7,0.95,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.6,0.8,0.9,0.98,0.95,0.15,0.0,0.05,0.15,0.05,0.1,0.0,0.05,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.2,0.0,0.0
